"Estimate","Std..Error","z.value","Pr...z..","variable"
0.51099208965906,0.0236523451520288,21.6042885546691,1.63690664703517e-103,"crash_num"
-0.0479846900400396,0.0155348447994048,-3.08884257677798,0.00200937880970157,"SpeedLimit_amin"
0.0712432895466401,0.0163652799262403,4.35331933628631,1.34091604614628e-05,"SpeedLimit_mean"
-0.000221731088770465,0.000200308429286192,-1.10694836737831,0.268316252421196,"SidewalkFt_100Ft_mean"
-6.57853777231001,4.18943467556654,-1.57026861181942,0.116352633241206,"n_bike_mean"
0.421915358732016,0.122947949813195,3.43165835114018,0.000599902787827182,"n_cars_mean"
85.8081160303842,1425.8380338936,0.0601808297931735,0.95201161364651,"n_peds_mean"
0.913512227686511,1.15843641483178,0.7885734736845,0.430361339806966,"n_train_mean"
0.246693796802443,0.110782846780964,2.226823050415,0.0259591022219146,"transit_n_stops_mean"
-0.00270408341012302,0.00199761396454704,-1.3536566414303,0.175845947143257,"transit_n_trips_mean"
-0.0198397931243519,0.0754915633562788,-0.262808084006937,0.792698504370814,"transit_n_routes_mean"
0.734726460036343,1.06402966540205,0.690513135043769,0.489871552678496,"NumberofEnteringRoads_Cloverleaf_mean"
0.347038618640525,0.614880066320945,0.564400502876903,0.572481596710501,"NumberofEnteringRoads_Five.Entering.Roads_mean"
0.269097081245337,0.0857897417483562,3.13670464278432,0.00170858152775723,"NumberofEnteringRoads_Four.Entering.Roads_mean"
-0.0651012721225808,0.209764880491861,-0.310353534728645,0.756292124650938,"NumberofEnteringRoads_Other..Explain.In.Narrative._mean"
0.824213443210375,0.881509221226221,0.935002633397136,0.349786942299919,"NumberofEnteringRoads_Six.Entering.Roads_mean"
-0.0510048369883603,0.0832646038311005,-0.612563257873921,0.540165158925535,"NumberofEnteringRoads_Three.Entering.Roads...T_mean"
130.116079508125,8857.66120159822,0.0146896654259759,0.988279764265763,"TrafficControlType_Bike.Lane_mean"
-1.32365904904943,1.29380941816999,-1.02307111886823,0.306274221131024,"TrafficControlType_Crosswalk_mean"
0.246017545207862,1.04373987086052,0.235707719975314,0.813659478993121,"TrafficControlType_Flagman_mean"
0.131719578790201,0.704810905990403,0.186886408355313,0.85174969601072,"TrafficControlType_Flashing.Red.Light_mean"
3.47293178173511,4.34430243747053,0.79942219302697,0.424045646131855,"TrafficControlType_Flashing.Yellow.Light_mean"
0.0229256689308882,0.0877943743606757,0.261129133817906,0.793992925347025,"TrafficControlType_Marked.Lanes_mean"
0.654590183234356,0.516035250811615,1.26849896824844,0.204619818939693,"TrafficControlType_No.Passing.Zone_mean"
0.0983293304161827,0.113915413759959,0.863178451191696,0.38803935960002,"TrafficControlType_None_mean"
-1.35076942263546,0.525523259771439,-2.57033232596202,0.0101600997366217,"TrafficControlType_Other..Explain.In.Narrative._mean"
-0.188850499517553,0.103895575924863,-1.81769529488078,0.0691107172903902,"TrafficControlType_Signal.Light_mean"
0.410193933690787,1.19171084915877,0.344205923761074,0.730691427679509,"TrafficControlType_Warning.Sign_mean"
-0.128214009660078,0.324971980133726,-0.394538660247932,0.693183390309488,"TrafficControlType_Yield.Sign_mean"
0.632216344477761,0.0782449642178585,8.07996208826261,6.47869113433116e-16,"RoadClass_City.Street_mean"
-0.12028160650935,0.247837064526725,-0.485325335574976,0.627445586387131,"RoadClass_Farm.To.Market_mean"
0.151408270393842,0.33320983305721,0.454393164225279,0.649545871539447,"RoadClass_Interstate_mean"
-1.76540789865098,1.34367464443219,-1.31386560427135,0.188891435450834,"RoadClass_Tollway_mean"
0.136507060494831,0.193655617843009,0.704895948877109,0.480874991438387,"RoadClass_US...State.Highways_mean"
-2.43954510113951,1.26158715811855,-1.93371110782207,0.0531486573555366,"RoadwayAlignment_Curve..Grade_mean"
0.196978029570579,0.614557862603694,0.320519907980745,0.748574241363457,"RoadwayAlignment_Curve..Level_mean"
-0.592567245973127,0.628113068080453,-0.943408561429941,0.345471965714109,"RoadwayAlignment_Straight..Grade_mean"
0.630839589145476,0.924428918423146,0.682410055087347,0.494979699447479,"RoadwayAlignment_Straight..Hillcrest_mean"
-0.104488060114212,0.577983853200434,-0.18078024072063,0.856540073177254,"RoadwayAlignment_Straight..Level_mean"
0.116819418996032,0.149478833953244,0.781511441496609,0.434501750049344,"RoadwayFunction_No.Data_mean"
-0.112139112139561,0.945434984069796,-0.11861113035699,0.90558344685758,"RoadwayFunction_Rural.Major.Coll_mean"
-1.02467632282954,1.40228286453953,-0.730720134105051,0.464950114879032,"RoadwayFunction_Rural.Minor.Arterial_mean"
-17.3832592236219,2268.00567245499,-0.00766455720756883,0.993884628013783,"RoadwayFunction_Rural.Minor.Coll_mean"
-0.515941631944387,0.908033212513162,-0.568196873015709,0.569901294517827,"RoadwayFunction_Urban.Collector_mean"
-0.521238708376959,0.878555244408221,-0.593290759681317,0.552986581668196,"RoadwayFunction_Urban.Minor.Arterial_mean"
0.071434050699388,0.98611104322218,0.0724401690766719,0.942251618446671,"RoadwayFunction_Urban.Prin.Arterial..IH._mean"
-0.674667059621391,0.925151258432642,-0.729250545218289,0.465848417745344,"RoadwayFunction_Urban.Prin.Arterial..Other.Freeway._mean"
-0.52036878538777,0.849992193171417,-0.612204193836435,0.540402667204135,"RoadwayFunction_Urban.Prin.Arterial..Other._mean"
-0.00165563444480511,0.279520874478217,-0.00592311557373196,0.995274065165448,"RoadwayRelation_Off.Roadway_mean"
-13.5807330069888,1724.52272355805,-0.0078750675891176,0.993716670100651,"RoadwayRelation_Shoulder_mean"
